target,fold,cindex,roc_auc,average_precision,row_count,positive_count
risk_death,1,0.5021367521367521,0.7406593406593407,0.34580868343971355,197,15
risk_death,2,0.6104328523862376,0.7754578754578755,0.29554432574947587,197,15
risk_death,3,0.6041666666666666,0.7728937728937728,0.27804845472915646,197,15
risk_death,4,0.4654320987654321,0.7796961325966851,0.41054415282759554,197,16
risk_death,5,0.6891334250343879,0.8736648250460405,0.4868853726918243,196,15
risk_hepatic_event,1,0.7643253234750462,0.8489439853076217,0.24058660703231452,251,9
risk_hepatic_event,2,0.7348571428571429,0.7767634854771784,0.23550822604281238,251,10
risk_hepatic_event,3,0.8601472134595163,0.8701244813278008,0.29122603677573705,251,10
risk_hepatic_event,4,0.7715008431703204,0.8538497003227294,0.12991620610311264,250,9
risk_hepatic_event,5,0.7631336405529954,0.8381742738589212,0.29842549991054507,250,9
