analysis_target,feature,error_bucket,count,mean,median,std
death,bilirubin_v3,hard_fn,18,9.336444041852458,7.248425665542497,4.716419031017728
death,bilirubin_v3,hard_fp,83,11.63381740747127,9.740240800284186,7.435610705303756
death,bilirubin_v3,well_ranked_negative,73,10.34792118446605,9.299268549174542,4.671636553726386
death,bilirubin_v3,well_ranked_positive,19,8.645072895189752,7.767416377824645,5.223629730587795
death,chol_visit_std,hard_fn,19,0.6633187302544347,0.5941797991679351,0.42523037258000507
death,chol_visit_std,hard_fp,84,0.5836924760834333,0.5486425910954205,0.3547894284870976
death,chol_visit_std,well_ranked_negative,118,0.4824310855533464,0.4562345069727123,0.2857248807704336
death,chol_visit_std,well_ranked_positive,19,0.48284626487709753,0.4881065777569921,0.25055059024637055
death,Age_v2,hard_fn,18,56.333333333333336,59.0,12.146168604325641
death,Age_v2,hard_fp,83,63.903614457831324,65.0,9.192540000153526
death,Age_v2,well_ranked_negative,204,50.622549019607845,52.0,11.888632703518164
death,Age_v2,well_ranked_positive,18,68.0,68.5,7.235533233734096
death,aixp_aix_result_BM_3_v1,hard_fn,2,6.441326166522707,6.441326166522707,0.19002439789340217
death,aixp_aix_result_BM_3_v1,hard_fp,15,9.885920518443237,8.596657325829518,4.832110093399834
death,aixp_aix_result_BM_3_v1,well_ranked_negative,97,6.003522158313418,5.383900793101517,2.719109244143533
death,aixp_aix_result_BM_3_v1,well_ranked_positive,0,,,
death,Age_visit_std,hard_fn,19,2.5893500013522273,2.5055493963954847,1.539398331416682
death,Age_visit_std,hard_fp,91,2.8300573027606117,2.4748737341529163,1.6002992024956102
death,Age_visit_std,well_ranked_negative,216,1.9759502125118245,1.8257418583505538,1.1503097601916163
death,Age_visit_std,well_ranked_positive,19,2.468969309174991,2.1213203435596424,1.7902935155812774
death,gluc_fast_v3,hard_fn,15,6.371587437442504,5.680546494311313,1.457028909691867
death,gluc_fast_v3,hard_fp,74,6.832020930207125,5.869685233410312,2.7887355485732606
death,gluc_fast_v3,well_ranked_negative,100,5.131684948988975,4.94685300058511,0.8590119071257308
death,gluc_fast_v3,well_ranked_positive,16,6.62103040457648,6.1020977210166185,1.9919173018519216
