score_decile,row_count,positive_count,event_rate,mean_score,median_score,mean_event_age,median_event_age
10,126,23,0.18253968253968253,0.11661947496868677,0.0664832508337384,62.56521739130435,66.0
9,125,16,0.128,0.02008595656899151,0.0193858978805039,63.375,65.5
8,125,2,0.016,0.011788831731682116,0.0114767752839899,67.5,67.5
7,125,2,0.016,0.009294681170721426,0.0093260647740707,58.0,58.0
6,125,0,0.0,0.007825071462235223,0.0078260046165588,,
5,126,1,0.007936507936507936,0.0065903240484666325,0.006583727627872,55.0,55.0
4,125,0,0.0,0.005405722849891475,0.005416579563772,,
3,125,2,0.016,0.004519205707912471,0.004493027309711,66.0,66.0
2,125,0,0.0,0.003668916149468624,0.0036957206129013,,
1,126,1,0.007936507936507936,0.0024558886623778035,0.00258634313471895,71.0,71.0
